Type                                  Module                      Label             Process   
BXVector<l1t::Muon>                   "simGmtStage2Digis"         ""                "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon"            "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon2"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon3"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon4"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon5"           "HLT"     
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon6"           "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsBMTF"    "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFNeg"   "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsEMTFPos"   "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFNeg"   "HLT"     
BXVector<l1t::Muon>                   "simGmtStage2Digis"         "imdMuonsOMTFPos"   "HLT"     
BXVector<l1t::MuonShower>             "simGmtShowerDigis"         ""                "HLT"     
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower"      "HLT"     
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower2"     "HLT"     
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower3"     "HLT"     
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower4"     "HLT"     
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower5"     "HLT"     
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower6"     "HLT"     
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "BMTF"            "HLT"     
BXVector<l1t::RegionalMuonCand>       "simKBmtfDigis"             "BMTF"            "HLT"     
BXVector<l1t::RegionalMuonCand>       "simEmtfDigis"              "EMTF"            "HLT"     
BXVector<l1t::RegionalMuonCand>       "simOmtfDigis"              "OMTF"            "HLT"     
BXVector<l1t::RegionalMuonCand>       "simBmtfDigis"              "UnsortedBMTF"    "HLT"     
BXVector<l1t::RegionalMuonShower>     "simEmtfShowers"            "EMTF"            "HLT"     
BXVector<l1t::Tau>                    "simCaloStage2Digis"        ""                "HLT"     
BXVector<l1t::Tau>                    "simCaloStage2Digis"        "MP"              "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau"             "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau2"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau3"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau4"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau5"            "HLT"     
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau6"            "HLT"     
CrossingFramePlaybackInfoNew          "mix"                       ""                "HLT"     
EBDigiCollection                      "simEcalDigis"              "ebDigis"         "HLT"     
EEDigiCollection                      "simEcalDigis"              "eeDigis"         "HLT"     
ESDigiCollection                      "simEcalPreshowerDigis"     ""                "HLT"     
FEDRawDataCollection                  "rawDataCollector"          ""                "HLT"     
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
GlobalObjectMapRecord                 "simGtStage2Digis"          ""                "HLT"     
HcalDataFrameContainer<QIE10DataFrame>    "simHcalDigis"              "HFQIE10DigiCollection"   "HLT"     
HcalDataFrameContainer<QIE10DataFrame>    "simHcalUnsuppressedDigis"   "HFQIE10DigiCollection"   "HLT"     
HcalDataFrameContainer<QIE11DataFrame>    "simHcalDigis"              "HBHEQIE11DigiCollection"   "HLT"     
HcalDataFrameContainer<QIE11DataFrame>    "simHcalUnsuppressedDigis"   "HBHEQIE11DigiCollection"   "HLT"     
L1MuDTChambPhContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"     
L1MuDTChambThContainer                "simDtTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCALCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCLCTPreTriggerDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCComparatorDigi>    "simMuonCSCDigis"           "MuonCSCComparatorDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCCorrelatedLCTDigi>    "simCscTriggerPrimitiveDigis"   "MPCSORTED"       "HLT"     
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Anode"           "HLT"     
MuonDigiCollection<CSCDetId,CSCShowerDigi>    "simCscTriggerPrimitiveDigis"   "Cathode"         "HLT"     
MuonDigiCollection<CSCDetId,CSCStripDigi>    "simMuonCSCDigis"           "MuonCSCStripDigi"   "HLT"     
MuonDigiCollection<CSCDetId,CSCWireDigi>    "simMuonCSCDigis"           "MuonCSCWireDigi"   "HLT"     
MuonDigiCollection<CSCDetId,int>      "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigi>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<DTLayerId,DTDigiSimLink>    "simMuonDTDigis"            ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMCoPadDigi>    "simCscTriggerPrimitiveDigis"   ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMDigi>    "simMuonGEMDigis"           ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMPadDigi>    "simMuonGEMPadDigis"        ""                "HLT"     
MuonDigiCollection<GEMDetId,GEMPadDigiCluster>    "simMuonGEMPadDigiClusters"   ""                "HLT"     
MuonDigiCollection<RPCDetId,RPCDigi>    "simMuonRPCDigis"           ""                "HLT"     
ROOT::Math::PositionVector3D<ROOT::Math::Cartesian3D<float>,ROOT::Math::DefaultCoordinateSystemTag>    "genParticles"              "xyz0"            "HLT"     
double                                "ak4GenJets"                "rho"             "HLT"     
double                                "ak4GenJetsNoNu"            "rho"             "HLT"     
double                                "ak8GenJets"                "rho"             "HLT"     
double                                "ak8GenJetsNoNu"            "rho"             "HLT"     
double                                "ak4GenJets"                "sigma"           "HLT"     
double                                "ak4GenJetsNoNu"            "sigma"           "HLT"     
double                                "ak8GenJets"                "sigma"           "HLT"     
double                                "ak8GenJetsNoNu"            "sigma"           "HLT"     
edm::DetSetVector<GEMDigiSimLink>     "simMuonGEMDigis"           "GEM"             "HLT"     
edm::DetSetVector<PixelDigi>          "simSiPixelDigis"           ""                "HLT"     
edm::DetSetVector<PixelDigiSimLink>    "simSiPixelDigis"           ""                "HLT"     
edm::DetSetVector<PixelDigiSimLink>    "prunedDigiSimLinks"        "siPixel"         "HLT"     
edm::DetSetVector<RPCDigiSimLink>     "simMuonRPCDigis"           "RPCDigiSimLink"   "HLT"     
edm::DetSetVector<SiStripDigi>        "simSiStripDigis"           "ZeroSuppressed"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ProcessedRaw"    "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "ScopeMode"       "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "StripAPVBaselines"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "StripAmplitudes"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "StripAmplitudesPostAPV"   "HLT"     
edm::DetSetVector<SiStripRawDigi>     "simSiStripDigis"           "VirginRaw"       "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simSiStripDigis"           ""                "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCStripDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "simMuonCSCDigis"           "MuonCSCWireDigiSimLinks"   "HLT"     
edm::DetSetVector<StripDigiSimLink>    "prunedDigiSimLinks"        "siStrip"         "HLT"     
edm::RandomEngineStates               "randomEngineStateProducer"   ""                "HLT"     
edm::SortedCollection<EBSrFlag,edm::StrictWeakOrdering<EBSrFlag> >    "simEcalDigis"              "ebSrFlags"       "HLT"     
edm::SortedCollection<EESrFlag,edm::StrictWeakOrdering<EESrFlag> >    "simEcalDigis"              "eeSrFlags"       "HLT"     
edm::SortedCollection<EcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<EcalTriggerPrimitiveDigi> >    "simEcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HBHEDataFrame,edm::StrictWeakOrdering<HBHEDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HFDataFrame,edm::StrictWeakOrdering<HFDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalDigis"              ""                "HLT"     
edm::SortedCollection<HODataFrame,edm::StrictWeakOrdering<HODataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::SortedCollection<HcalTriggerPrimitiveDigi,edm::StrictWeakOrdering<HcalTriggerPrimitiveDigi> >    "simHcalTriggerPrimitiveDigis"   ""                "HLT"     
edm::SortedCollection<ZDCDataFrame,edm::StrictWeakOrdering<ZDCDataFrame> >    "simHcalUnsuppressedDigis"   ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
edmNew::DetSetVector<PixelFEDChannel>    "simSiPixelDigis"           ""                "HLT"     
float                                 "genParticles"              "t0"              "HLT"     
int                                   "addPileupInfo"             "bunchSpacing"    "HLT"     
reco::BeamSpot                        "hltOnlineBeamSpot"         ""                "HLT"     
vector<L1CaloRegion>                  "simCaloStage2Layer1Digis"   ""                "HLT"     
vector<L1MuBMTrack>                   "simBmtfDigis"              "BMTF"            "HLT"     
vector<L1MuBMTrackSegEta>             "simBmtfDigis"              "BMTF"            "HLT"     
vector<L1MuBMTrackSegPhi>             "simBmtfDigis"              "BMTF"            "HLT"     
vector<PileupSummaryInfo>             "addPileupInfo"             ""                "HLT"     
vector<TrackingParticle>              "prunedTrackingParticles"   ""                "HLT"     
vector<TrackingParticle>              "mix"                       "MergedTrackTruth"   "HLT"     
vector<TrackingVertex>                "mix"                       "MergedTrackTruth"   "HLT"     
vector<double>                        "ak4GenJets"                "rhos"            "HLT"     
vector<double>                        "ak4GenJetsNoNu"            "rhos"            "HLT"     
vector<double>                        "ak8GenJets"                "rhos"            "HLT"     
vector<double>                        "ak8GenJetsNoNu"            "rhos"            "HLT"     
vector<double>                        "ak4GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak4GenJetsNoNu"            "sigmas"          "HLT"     
vector<double>                        "ak8GenJets"                "sigmas"          "HLT"     
vector<double>                        "ak8GenJetsNoNu"            "sigmas"          "HLT"     
vector<int>                           "genParticles"              ""                "HLT"     
vector<l1t::EMTFHit>                  "simEmtfDigis"              ""                "HLT"     
vector<l1t::EMTFTrack>                "simEmtfDigis"              ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak4GenJetsNoNu"            ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJets"                ""                "HLT"     
vector<reco::GenJet>                  "ak8GenJetsNoNu"            ""                "HLT"     
vector<reco::GenMET>                  "genMetCalo"                ""                "HLT"     
vector<reco::GenMET>                  "genMetTrue"                ""                "HLT"     
vector<reco::GenParticle>             "genPUProtons"              ""                "HLT"     
vector<reco::GenParticle>             "genParticles"              ""                "HLT"     
vector<pair<int,bitset<6> > >         "mix"                       "AffectedAPVList"   "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
trigger::TriggerEventWithRefs         "hltTriggerSummaryRAW"      ""                "HLT"     
trigger::TriggerFilterObjectWithRefs   "hltL1sZeroBias"            ""                "HLT"     
