vol=38|sen=333; 305221664; PixelBarrel; -107.796  23.6759  234.498
vol=42|sen=108; 352744452; PixelEndcap; -124.772  28.1221  317.385
vol=57|sen=725; 369124558; TIB; -222.339  84.5024  578.041
vol=57|sen=773; 369124557; TIB; -224.589  84.9685  578.068
vol=63|sen=97; 402672793; TID; -354.576  94.9836  837.743
vol=63|sen=96; 402672794; TID; -354.571  94.9867  840.191
vol=64|sen=112; 402674841; TID; -354.571  94.9815  967.198
vol=64|sen=73; 402674842; TID; -354.567   94.986  969.647
vol=65|sen=155; 402677416; TID; -441.92 69.9692 1027.12
vol=85|sen=212; 470312324; TEC; -553.864  94.0748  1296.52
vol=86|sen=220; 470328708; TEC; -553.824   94.067  1436.42
vol=86|sen=297; 470324397; TEC; -658.249  157.747  1475.44
vol=86|sen=298; 470324398; TEC; -658.19 157.979 1478.57
vol=87|sen=354; 470340781; TEC; -658.225  157.743  1615.31
vol=87|sen=353; 470340782; TEC; -658.19 157.979 1618.44
vol=88|sen=245; 470357165; TEC; -658.242  157.752  1755.17
vol=88|sen=244; 470357166; TEC; -658.181  157.976  1758.29
vol=89|sen=302; 470377924; TEC; -807.225  137.107  1855.29
vol=90|sen=306; 470394308; TEC; -807.241  137.109  2030.07
vol=91|sen=336; 470410724; TEC; -978.478   154.92     2201
vol=92|sen=308; 470427108; TEC; -978.437  154.915  2405.73
vol=93|sen=273; 470443492; TEC; -978.408  154.908  2620.39
-----
vol=36|sen=54; 303042580; PixelBarrel; 29.3899 8.38326 33.5002
vol=37|sen=163; 304095256; PixelBarrel; 61.7199 22.7446 100.501
vol=37|sen=156; 304099352; PixelBarrel; 58.1059 37.8622   100.5
vol=38|sen=280; 305152028; PixelBarrel; 94.0827 51.1246   167.5
vol=39|sen=489; 306204704; PixelBarrel; 143.029 67.4891 234.498
vol=57|sen=630; 369124410; TIB; 195.855 134.982 374.126
vol=57|sen=681; 369124409; TIB; 197.521 136.567 374.113
vol=57|sen=716; 369125433; TIB; 233.795 134.786 310.926
vol=57|sen=937; 369125434; TIB; 235.583 136.233  310.91
vol=71|sen=1339; 436232342; TOB; 537.237 323.743 822.439
vol=71|sen=1384; 436232341; TOB; 540.952 325.973 822.419
vol=72|sen=1583; 436248761; TOB; 574.982 361.569 989.806
vol=72|sen=1584; 436248762; TOB; 578.656 363.866 989.815
vol=85|sen=486; 470307316; TEC; 844.627 517.629 1348.66
-----
vol=36|sen=46; 303058960; PixelBarrel; -21.9537  21.2594 -33.4992
vol=37|sen=74; 304132108; PixelBarrel; -49.8415  48.2218 -100.499
vol=38|sen=174; 305209356; PixelBarrel; -85.5861  64.3402 -100.499
vol=39|sen=100; 306290696; PixelBarrel; -129.601   96.297 -167.499
vol=57|sen=181; 369120442; TIB;  -195.66  135.261 -242.704
vol=57|sen=154; 369120441; TIB; -197.734  136.257 -242.717
vol=58|sen=304; 369136874; TIB; -256.748  194.099 -389.254
vol=58|sen=233; 369136873; TIB; -258.781  195.178 -389.276
vol=59|sen=100; 369153324; TIB; -322.332  241.251  -456.19
vol=60|sen=86; 369170812; TIB;  -419.09  297.354 -531.805
vol=71|sen=297; 436228657; TOB; -475.688   364.98 -633.844
vol=72|sen=260; 436245141; TOB; -580.185  411.373 -822.418
vol=72|sen=259; 436245142; TOB; -583.726  413.872 -822.425
vol=74|sen=108; 436278068; TOB; -705.518  483.392 -822.425
vol=75|sen=96; 436294520; TOB;   -804.3  567.252 -989.814
-----
vol=36|sen=49; 303075348; PixelBarrel; -7.96782 -31.7776  33.4997
vol=38|sen=222; 305262616; PixelBarrel; -38.7763 -103.333  100.499
vol=39|sen=413; 306368540; PixelBarrel; -53.4111 -148.861  167.499
vol=57|sen=705; 369125721; TIB; -109.912 -246.466    310.9
vol=57|sen=944; 369125722; TIB; -110.509 -248.687  310.916
vol=58|sen=1167; 369141133; TIB; -116.906 -302.318  447.732
vol=58|sen=986; 369142201; TIB; -115.052 -334.638  380.172
vol=58|sen=1063; 369142202; TIB; -115.448 -336.903   380.18
vol=59|sen=455; 369158684; TIB; -117.186 -418.265  527.907
vol=60|sen=597; 369175180; TIB; -142.249 -493.787  605.469
vol=71|sen=1333; 436233174; TOB; -173.608  -602.73  822.405
vol=71|sen=1374; 436233173; TOB; -174.811  -606.89  822.424
vol=72|sen=1594; 436249685; TOB; -243.404 -656.728  804.699
vol=72|sen=1593; 436249686; TOB; -244.916 -660.787  804.701
vol=74|sen=711; 436282744; TOB; -241.696 -820.347  989.825
-----
vol=36|sen=58; 303054868; PixelBarrel; -7.50903  26.3365  33.5005
vol=37|sen=180; 304123932; PixelBarrel; -23.9824  65.0706    167.5
vol=38|sen=314; 305192992; PixelBarrel; -37.2138  100.397  234.499
vol=57|sen=800; 369125549; TIB; -109.607  246.592  544.743
vol=57|sen=967; 369125550; TIB; -110.857  248.523  544.749
vol=58|sen=1187; 369141965; TIB; -114.736  334.734  605.458
vol=58|sen=1262; 369141966; TIB; -115.818  336.763  605.462
vol=63|sen=178; 402673436; TID; -138.276  425.517  743.674
vol=63|sen=146; 402673308; TID; -203.134  398.632  768.216
vol=64|sen=171; 402675356; TID; -203.143  398.648   897.68
vol=85|sen=339; 470307753; TEC; -259.284  625.255  1342.89
vol=85|sen=377; 470307784; TEC; -313.372  756.454  1367.42
vol=86|sen=364; 470324168; TEC; -313.37 756.446  1507.3
vol=87|sen=428; 470340592; TEC; -449.744  882.565  1623.38
vol=88|sen=387; 470356976; TEC; -449.777  882.626  1763.22
vol=89|sen=374; 470373360; TEC; -449.738  882.552  1903.03
-----
vol=36|sen=51; 303058964; PixelBarrel; -21.9535  21.2591  33.4998
vol=37|sen=123; 304136212; PixelBarrel; -56.2614  34.0705  33.5001
vol=38|sen=218; 305209364; PixelBarrel; -85.5863  64.3394  33.4999
vol=39|sen=281; 306290708; PixelBarrel; -129.601  96.2967  33.4998
vol=57|sen=506; 369125573; TIB; -200.435  180.696   75.784
vol=57|sen=508; 369125589; TIB; -233.622  135.083  75.7408
vol=57|sen=847; 369125590; TIB; -235.77   135.9 75.7563
vol=58|sen=930; 369142021; TIB; -296.15 193.681 148.645
vol=58|sen=874; 369142022; TIB; -298.248  194.623  148.632
vol=59|sen=337; 369157412; TIB; -322.336  241.251   174.21
vol=60|sen=432; 369174900; TIB; -419.095  297.363  149.848
vol=71|sen=884; 436232746; TOB; -463.652  355.749  273.153
vol=71|sen=925; 436232745; TOB; -467.09  358.38  273.14
vol=72|sen=1255; 436249225; TOB; -580.214  411.377  273.142
vol=72|sen=1242; 436249226; TOB; -583.747  413.888  273.145
